Metroid Prime 3: Corruption,Adventure
Metroid Prime 3: Corruption,Action
Anno 1404,Strategy
Anno 1404,Construction and Management Simulation
Fallout,Role-Playing
1080?? Snowboarding,Sports
007: The World Is Not Enough,Shooter
007: The World Is Not Enough,Action
A Bug's Life,Adventure
Army Men: Sarge's Heroes,Shooter
Army Men: Sarge's Heroes,Action
BattleTanx,Action
BattleTanx: Global Assault,Action
Blues Brothers 2000,Platform
Blues Brothers 2000,Music
Body Harvest,Shooter
Body Harvest,Action
Bomberman Hero,Action
Castlevania: Legacy of Darkness,Platform
Castlevania: Legacy of Darkness,Action
Chopper Attack,Shooter
Chopper Attack,Action
Conker's Bad Fur Day,Platform
Donkey Kong 64,Adventure
Donkey Kong 64,Action
Doom 64,Shooter
Fighter Destiny 2,Fighting
Fighting Force 64,Fighting
Forsaken 64,Shooter
Forsaken 64,Action
Gauntlet Legends,Action
Hercules: The Legendary Journeys,Adventure
Hercules: The Legendary Journeys,Action
"Hey You, Pikachu!",Life Simulation
Hydro Thunder,Vehicle Simulation
Indiana Jones and the Infernal Machine,Adventure
Indiana Jones and the Infernal Machine,Action
Jet Force Gemini,Shooter
Jet Force Gemini,Adventure
Jet Force Gemini,Action
Killer Instinct Gold,Fighting
Kirby 64: The Crystal Shards,Adventure
Knockout Kings 2000,Sports
Duck Dodgers Starring Daffy Duck,Platform
Mario Kart 64,Sports
Mario Kart 64,Racing
Mario Kart 64,Action
Madden NFL 99,Sports
Madden NFL 2001,Sports
Madden NFL 2002,Sports
Mario Party 2,Strategy
Mario Party 2,Sports
Mario Party 2,Adventure
Mario Party 2,Action
"Major League Baseball Featuring Ken Griffey, Jr.",Sports
NBA In the Zone '99,Sports
Animaniacs,Platform
Ardy Lightfoot,Adventure
Ardy Lightfoot,Action
Battle Clash,Shooter
Super Bomberman,Strategy
Super Bomberman,Action
Bugs Bunny Rabbit Rampage,Platform
Cacoma Knight in Bizyland,Action
Congo's Caper,Action
3 Ninjas Kick Back,Action
The 7th Saga,Role-Playing
Daffy Duck: The Marvin Missions,Adventure
Daffy Duck: The Marvin Missions,Action
Advanced Dungeons & Dragons: Eye of the Beholder,Role-Playing
Jeopardy!,Puzzle
John Madden Football,Sports
Judge Dredd,Action
Ka-Blooey,Strategy
Krusty's Super Fun House,Platform
